stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_298_63049,,"Bieżanowska","",50.023609,19.979431,,,0,,,
stop_299_63219,,"Dauna","",50.018289,19.977516,,,0,,,
stop_299_63229,,"Dauna","",50.018408,19.977585,,,0,,,
stop_300_63419,,"Wlotowa","",50.019364,19.988113,,,0,,,
stop_300_63429,,"Wlotowa","",50.019553,19.987851,,,0,,,
stop_301_63719,,"Prokocim","",50.017526,19.991105,,,0,,,
stop_301_63729,,"Prokocim","",50.017646,19.990988,,,0,,,
stop_302_67919,,"Ćwiklińskiej","",50.016057,20.019317,,,0,,,
stop_302_67929,,"Ćwiklińskiej","",50.015966,20.019968,,,0,,,
stop_303_68119,,"Teligi","",50.016599,20.007159,,,0,,,
stop_303_68129,,"Teligi","",50.016511,20.007916,,,0,,,
stop_304_68219,,"Prokocim Szpital","",50.014443,19.998952,,,0,,,
stop_304_68229,,"Prokocim Szpital","",50.014585,20.000171,,,0,,,
stop_305_71519,,"Nowosądecka","",50.013455,19.964635,,,0,,,
stop_305_71529,,"Nowosądecka","",50.013437,19.964684,,,0,,,
stop_306_71619,,"Piaski Nowe","",50.015482,19.971574,,,0,,,
stop_306_71629,,"Piaski Nowe","",50.015447,19.971604,,,0,,,
stop_307_71819,,"Witosa","",50.012338,19.956857,,,0,,,
stop_307_71829,,"Witosa","",50.012424,19.95579,,,0,,,
stop_309_74619,,"Solvay","",50.016651,19.929831,,,0,,,
stop_309_74629,,"Solvay","",50.015661,19.929342,,,0,,,
stop_310_74719,,"Borek Fałęcki","",50.013101,19.927021,,,0,,,
stop_311_82319,,"Oleandry","",50.059787,19.921194,,,0,,,
stop_311_82329,,"Oleandry","",50.05985,19.920531,,,0,,,
stop_312_82419,,"Borek Fałęcki I","",50.014602,19.927844,,,0,,,
stop_312_82429,,"Borek Fałęcki I","",50.014561,19.927837,,,0,,,
stop_313_86719,,"Bieńczycka","",50.075661,20.02044,,,0,,,
stop_313_86729,,"Bieńczycka","",50.0757,20.02058,,,0,,,
stop_314_92219,,"Łagiewniki","",50.030477,19.936964,,,0,,,
stop_314_92229,,"Łagiewniki","",50.030486,19.937053,,,0,,,
stop_314_92239,,"Łagiewniki","",50.029783,19.935369,,,0,,,
stop_314_92249,,"Łagiewniki","",50.029498,19.935946,,,0,,,
stop_314_92259,,"Łagiewniki","",50.029682,19.935452,,,0,,,
stop_315_93019,,"M1 Al. Pokoju","",50.065658,19.997488,,,0,,,
stop_315_93029,,"M1 Al. Pokoju","",50.065502,19.996324,,,0,,,
stop_316_94619,,"Klimeckiego","",50.048976,19.967573,,,0,,,
stop_316_94629,,"Klimeckiego","",50.049016,19.967621,,,0,,,
stop_318_96019,,"Park Jordana","",50.06029,19.918105,,,0,,,
stop_318_96029,,"Park Jordana","",50.060224,19.917799,,,0,,,
stop_319_104919,,"Głowackiego","",50.07536,19.9068,,,0,,,
stop_319_104929,,"Głowackiego","",50.075882,19.905845,,,0,,,
stop_320_105119,,"Fort Mogiła (nż)","",50.066444,20.071272,,,0,,,
stop_320_105129,,"Fort Mogiła (nż)","",50.066382,20.071084,,,0,,,
stop_321_115419,,"Zabłocie","",50.0497,19.965148,,,0,,,
stop_321_115429,,"Zabłocie","",50.049951,19.964216,,,0,,,
stop_322_117319,,"Dworzec Główny Tunel","",50.068199,19.947649,,,0,,,
stop_322_117329,,"Dworzec Główny Tunel","",50.068258,19.947641,,,0,,,
stop_323_126219,,"Rzebika","",50.040429,19.992646,,,0,,,
stop_323_126229,,"Rzebika","",50.040546,19.990871,,,0,,,
stop_328_253819,,"Miśnieńska","",50.094489,19.999999,,,0,,,
stop_328_253829,,"Miśnieńska","",50.094406,20.000154,,,0,,,
stop_329_253919,,"Rondo Hipokratesa","",50.090025,20.021395,,,0,,,
stop_329_253929,,"Rondo Hipokratesa","",50.090094,20.021355,,,0,,,
stop_330_254319,,"Wańkowicza","",50.086978,20.04756,,,0,,,
stop_330_254329,,"Wańkowicza","",50.086937,20.047608,,,0,,,
stop_331_254819,,"Suche Stawy","",50.067469,20.059028,,,0,,,
stop_331_254829,,"Suche Stawy","",50.0675,20.059022,,,0,,,
stop_334_258219,,"Nowy Prokocim","",50.016128,20.012098,,,0,,,
stop_334_258229,,"Nowy Prokocim","",50.016318,20.013226,,,0,,,
stop_335_260819,,"Dworzec Główny Zachód","",50.06783,19.945354,,,0,,,
stop_335_260829,,"Dworzec Główny Zachód","",50.067827,19.945408,,,0,,,
stop_338_56919,,"Limanowskiego","",50.045136,19.954882,,,0,,,
stop_338_56929,,"Limanowskiego","",50.045,19.955911,,,0,,,
stop_339_62119,,"Cmentarz Podgórski","",50.038989,19.964548,,,0,,,
stop_339_62129,,"Cmentarz Podgórski","",50.038686,19.964919,,,0,,,
stop_342_268519,,"Jarzębiny","",50.091854,20.06071,,,0,,,
stop_342_268529,,"Jarzębiny","",50.091631,20.060269,,,0,,,
stop_343_268619,,"Lipińskiego","",50.030792,19.924804,,,0,,,
stop_343_268629,,"Lipińskiego","",50.030738,19.924874,,,0,,,
stop_344_268719,,"Grota-Roweckiego","",50.031867,19.920212,,,0,,,
stop_344_268729,,"Grota-Roweckiego","",50.031593,19.921162,,,0,,,
stop_345_268819,,"Norymberska","",50.029809,19.912225,,,0,,,
stop_345_268829,,"Norymberska","",50.030129,19.913131,,,0,,,
stop_346_269019,,"Kampus UJ","",50.024044,19.901485,,,0,,,
stop_346_269029,,"Kampus UJ","",50.024685,19.901995,,,0,,,
stop_347_269119,,"Chmieleniec","",50.020377,19.897505,,,0,,,
stop_347_269129,,"Chmieleniec","",50.020825,19.898122,,,0,,,
stop_351_274129,,"Św.Gertrudy","",50.058396,19.940846,,,0,,,
stop_352_274219,,"Św.Wawrzyńca","",50.051131,19.951064,,,0,,,
stop_352_274229,,"Św.Wawrzyńca","",50.051415,19.950829,,,0,,,
stop_353_274419,,"Plac Centralny im. R.Reagana","",50.071704,20.035631,,,0,,,
stop_353_274429,,"Plac Centralny im. R.Reagana","",50.072961,20.036331,,,0,,,
stop_353_274439,,"Plac Centralny im. R.Reagana","",50.072556,20.038845,,,0,,,
stop_353_274449,,"Plac Centralny im. R.Reagana","",50.071283,20.038494,,,0,,,
stop_354_274519,,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","",50.080257,20.026561,,,0,,,
stop_354_274529,,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","",50.07905,20.026486,,,0,,,
